date,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-09-22,1252,1614249841,23616,677811391.1099633,0.0019337,1.3107216704878275e-05,5.9999999999999995e-05,4.0669855835584433e-07,1279.056352,8.669839573571425,974.343123335622,517.2726152055719,1.1381314436002334e-05,0.00677830930593074,4.846157371745742,11.904283469113242,99997117351.50627,99997117351.50627,13234492914.538548,661457,23592,102630290.04522602,695659.8500839265,4401.93964247,29.837708442699828,100.0,0.677830930593074,103850560.04522601,703931.2175806744,0.04634491394252007,0.07788863047192318,0.0597207297168325
2016-09-23,1321,1614249879,23573,735235756.1251141,0.00207073,1.5225186474885093e-05,5.9999999999999995e-05,4.411541767845666e-07,1402.0644849999999,10.308776727984208,520.1723104255091,558.5441525646747,1.2205890707188775e-05,0.00735256961307611,12.384628938401079,20.484961091897887,99997115949.44177,99997115949.44177,13234491512.474056,677087,19183,192238444.733136,1413446.5472098668,10249.84854992,75.362724986774,100.0,0.735256961307611,196622844.733136,1445683.1534214378,0.04673744896492848,0.07916689511700647,0.060484866162827625
2016-09-24,1236,1614249907,23712,739611010.2528259,0.00243055,1.7977134136470693e-05,0.001056,7.810517639263975e-06,1430.334924,10.579219842762592,1144.316541204215,565.5151548913108,1.2272239333722976e-05,0.00739632352203028,10.842913535823513,21.75447709227384,99997114519.10686,99997114519.10686,13234490082.139132,588482,11238,87385885.73916398,646334.2821860291,7847.52498124,58.042833608465635,100.0,0.7396323522030279,88190485.739164,652285.3640918548,0.04635223510366606,0.07914089450647667,0.060249876983195186
2016-09-25,1297,1614249936,24095,800870904.3039918,0.0020667,1.6552076837233607e-05,5.9999999999999995e-05,4.805364156549167e-07,1516.235417,12.143438876236967,530.0658500440879,607.990415969302,1.3334675628287556e-05,0.00800894026091528,24.602271339585172,32.89990597477241,99997113002.87144,99997113002.87144,13234488565.903715,733651,28791,188650359.185664,1510889.4569181923,6560.18093104,52.54009717749495,100.0,0.8008940260915279,188874169.185664,1512681.9378379881,0.04669696278894213,0.08019331103275826,0.06103247867775055
2016-09-26,1948,1614249966,23814,770877447.2790258,0.00347448,2.678475693269539e-05,0.0011300000000000001,8.711166946980781e-06,3462.086843,26.689218118866048,230.434448257266,573.7783019430566,1.2704789888953818e-05,0.00770899729821308,19.914977265272405,29.885310586192446,99997109540.7846,99997109540.7846,13234485103.826868,996433,42066,433950350.292869,3345322.0779663464,10376.0127013,79.98865388054628,100.0,0.7708997298213079,436477350.292869,3364802.7141389316,0.04659270815186102,0.08054570567591507,0.061283008562340265
2016-09-27,1667,1614249994,23826,831297154.255844,0.00325467,2.7056762067252337e-05,0.001152,9.576820353975886e-06,3371.2869880000003,28.02622382445527,366.412650464252,614.8893672292418,1.3737403857393332e-05,0.00831321211282629,38.74898190552635,39.27940934900629,99997106169.4976,99997106169.4976,13235870323.603506,1035832,39906,272908443.64352405,2268745.779389914,6863.00916563,57.05365092615317,100.0,0.831321211282629,273875243.763524,2276782.99385818,0.046768913494988816,0.08145722597075149,0.061905671589409565
2016-09-28,1741,1614250022,23473,922005752.4102496,0.00225118,2.075661014706937e-05,5.9999999999999995e-05,5.532194710437024e-07,1873.35315,17.272923978684226,329.09444259007097,669.9821676967249,1.524810724722384e-05,0.00922032451739504,78.98849580353702,47.09920815478222,99997104296.14445,99997104296.14445,13237064021.695879,832166,23310,303855341.67376906,2801644.8565761,13132.56043217,121.08646892890906,100.0,0.922032451739504,306119983.673769,2822525.5907318215,0.04738374845863064,0.08293072052709262,0.06317800753640046
2016-09-29,1951,1614250052,23950,892392099.1450682,0.00226634,2.022522510657433e-05,5.9999999999999995e-05,5.354507736678786e-07,1701.7699100000002,15.186900248570266,376.823427767529,638.5697030557437,1.4745772939801273e-05,0.008924179561131309,59.29865318214758,49.487298660574204,99997102594.37456,99997102594.37456,13238257891.371487,750890,23142,265368592.35850105,2368196.9680919205,11530.00356099,102.89582211875818,325.0,2.900358357367676,266827342.40850097,2381215.1154729305,0.047432614181699057,0.08256947380516666,0.06306180813010567
2016-09-30,1827,1614250078,24004,864102252.585142,0.00364531,3.150011927837818e-05,0.001032,8.917793848887001e-06,2439.478825,21.080202771390592,336.385364741993,606.9204510665793,1.4192409117475156e-05,0.00864127310938663,59.45954825135142,44.90856427807,99997100154.8957,99997100154.8957,13238878565.80285,669210,27277,297269473.15794605,2568786.70464129,10993.29065359,94.99602690853865,380.0,3.2836837815669195,299863989.157946,2591206.6259839637,0.04748982637196472,0.0829523972615698,0.06323899456008679
2016-10-01,1617,1614250108,23853,806382273.961248,0.00565329,4.5588452661503304e-05,5.9999999999999995e-05,4.838434185563094e-07,4850.717053,39.116458689548445,323.206923142887,556.383203829005,1.3103584453535954e-05,0.008064056975938491,37.68385215313019,36.06179482516501,99997095304.17865,99997095304.17865,13238873715.085794,858035,27945,309390325.96146095,2494941.2163574025,11125.83828812,89.71939386047764,340.0,2.7417793718190864,310911550.961461,2507208.4614306246,0.04777482008769608,0.08422447359623401,0.06314119143662014
