date,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-02-20,1614335409,1424,2504701,1758.9192415730301,1912521.5358926244,760476415.9536519,0.0777243170950117,0.023404589185470087,0.07724989073800001,0.02326172843867132,46.634590257007,14.042753511282053,6337303.46628043,16434.015813155802,94.4439925622005,4948.662183860039,16434.015813155802,4948.662183860039,0.001226417029807132,0.30112312414221504,,15.679894346251462,6351294.147006044,18560980.033655863,6351294.147006044,600,8591,0.0703762883263982,0.060752180779874786,0.08993947466941367
2015-02-21,1614335409,1429,2155035,1508.0720783764903,1897839.263709898,768962180.812456,0.0738432173466569,0.0220081264418884,0.05,0.01490192818832045,37.881570498835,11.290168864688754,6408018.17343714,16469.9427355453,94.40565029974259,4908.678078216922,16469.9427355453,4908.678078216922,0.001213531818819405,0.298038563766409,,9.181191533592662,6367764.08974159,18561408.967907205,6367764.08974159,513,8489,0.07026483628040461,0.060267137553730685,0.08890113607032135
2015-02-22,1614335409,1448,1910355,1319.30593922652,1934840.1824644268,815056510.808702,0.0619772712715399,0.01878259018275032,0.03,0.00909168303027984,30.306885651783,9.184686599364904,6792137.59007251,16664.9846787684,95.27428900606459,5050.42528012774,16664.9846787684,5050.42528012774,0.001280388885447108,0.303056101009328,,7.753830377511704,6384429.074420359,18561843.273459464,6384429.074420359,489,8369,0.07029443184791302,0.06011208647410804,0.08731932602516787
2015-02-23,1614335409,1473,4361487,2960.95519348269,2165119.565691837,828792870.6809231,0.0767409521427934,0.025955985701195172,0.07,0.02367600281663022,67.608778837801,22.867223402752952,6906607.25567436,16920.4596307514,96.4791522845619,5722.983569662116,16920.4596307514,5722.983569662116,0.0014147916744593786,0.338228611666146,,11.9339114402984,6401349.534051109,18562284.551262137,6401349.534051109,881,10066,0.07086450181486167,0.06199618696212389,0.08792325441080143
2015-02-24,1614335409,1422,3776409,2655.70253164557,2219341.2088576714,877350801.23488,0.0751521405876907,0.025988935340214684,0.06116738073,0.021152758794240386,59.295038923688004,20.505269983429404,7311256.67695734,16313.996860938702,92.7846844191968,5641.667772119936,16313.996860938702,5641.667772119936,0.0014416921513734661,0.345817632564833,,9.667476268965382,6417663.530912049,18562710.889779806,6417663.530912049,789,9636,0.07046557041416518,0.0616653474926071,0.08782041061607954
2015-02-25,1614335409,1398,2405991,1721.02360515021,2315102.1253840355,884965780.7582259,0.0703901170915171,0.02532923913692829,0.04,0.0143936337562824,39.066514985792,14.057727720995205,7374714.83965188,16020.0394332398,90.88594938185172,5764.664509081389,16020.0394332398,5764.664509081389,0.001510437869082408,0.35984084390706,,15.045814248815505,6433683.570345287,18563130.109265793,6433683.570345287,555,8931,0.07055428842186892,0.06198412140548903,0.08447394161389603
2015-02-26,1614335410,1439,3168361,2201.77970813065,2254125.4695079834,876093725.430855,0.0740809822732704,0.025888994869158185,0.0642227590305,0.022443853037619775,52.597497414021994,18.381186357102315,7300781.04525712,16463.675320188602,93.164407927386,5753.541500294586,16463.675320188602,5753.541500294586,0.0014742758550555265,0.34946883902887105,,11.696121345872221,6450147.245665477,18563561.82090287,6450147.245665477,710,8833,0.07006657116031073,0.06228998569560613,0.08363495116343052
2015-02-27,1614335410,1411,2163320,1533.1821403260099,2476001.382500433,847248434.59674,0.0677254502021792,0.025932749063501036,0.04,0.015316398184779641,35.894488607155,13.744357003655551,7060403.6216395,16128.578792806798,91.0405219200136,6175.793373630538,16128.578792806798,6175.793373630538,0.0015009203354763318,0.382909954619491,,33.779325383046235,6466275.824458282,18563984.72620512,6466275.824458282,530,8065,0.07010063769979369,0.06173691156161833,0.08279142242460043
2015-02-28,1614335410,1450,4087769,2819.15103448276,2717828.5934375077,848403120.3351719,0.0860928237504031,0.03609323817486784,0.08,0.03353890519795976,72.83452889284099,30.534879495938196,7070026.0027931,16532.311098483602,93.0814768040064,6930.945182940243,16532.311098483602,6930.945182940243,0.0016443964155464616,0.41923631497449704,,32.7697740412331,6482808.135556766,18564419.116946436,6482808.135556766,846,8934,0.07035967680131948,0.06137687226630568,0.08362771111076099
2015-03-01,1614335410,1438,3178544,2210.39221140473,2754874.865937431,827422664.699583,0.06998187994919901,0.02966387867096908,0.04073931,0.01726855508677757,53.466156281188,22.66320330462036,6895188.87249652,16386.5342143352,92.0280941275913,6945.914615677408,16386.5342143352,6945.914615677408,0.0016262315581531304,0.423879419822711,,43.2476533439219,6499194.669771102,18564850.27011248,6499194.669771102,764,9633,0.07026470024127897,0.0597472858698272,0.08136106841514318
